1,Dun Morogh
2,Longshore
3,Badlands
4,Blasted Lands
7,Blackwater Cove
8,Swamp of Sorrows
9,Northshire Valley
10,Duskwood
11,Wetlands
12,Elwynn Forest
13,The World Tree
14,Durotar
15,Dustwallow Marsh
16,Azshara
17,The Barrens
18,Crystal Lake
19,Zul'Gurub
20,Moonbrook
21,Kul Tiras
22,Programmer Isle
23,Northshire River
24,Northshire Abbey
25,Blackrock Mountain
26,Lighthouse
28,Western Plaguelands
30,Nine
32,The Cemetary
33,Stranglethorn Vale
34,Echo Ridge Mine
35,Booty Bay
36,Alterac Mountains
37,Lake Nazferiti
38,Loch Modan
40,Westfall
41,Deadwind Pass
42,Darkshire
43,Wild Shore
44,Redridge Mountains
45,Arathi Highlands
46,Burning Steppes
47,The Hinterlands
49,Dead Man's Hole
51,Searing Gorge
53,Thieves Camp
54,Jasperlode Mine
55,Valley of Heroes UNUSED
56,Heroes' Vigil
57,Fargodeep Mine
59,Northshire Vineyards
60,Forest's Edge
61,Thunder Falls
62,Brackwell Pumpkin Patch
63,The Stonefield Farm
64,The Maclure Vineyards
65,Dragonblight
66,Zul'Drak
67,The Storm Peaks
68,Lake Everstill
69,Lakeshire
70,Stonewatch
71,Stonewatch Falls
72,The Dark Portal
73,The Tainted Scar
74,Pool of Tears
75,Stonard
76,Fallow Sanctuary
77,Anvilmar
80,Stormwind Mountains
81,Jeff NE Quadrant Changed
82,Jeff NW Quadrant
83,Jeff SE Quadrant
84,Jeff SW Quadrant
85,Tirisfal Glades
86,Stone Cairn Lake
87,Goldshire
88,Eastvale Logging Camp
89,Mirror Lake Orchard
91,Tower of Azora
92,Mirror Lake
93,Vul'Gol Ogre Mound
94,Raven Hill
95,Redridge Canyons
96,Tower of Ilgalar
97,Alther's Mill
98,Rethban Caverns
99,Rebel Camp
10,Nesingwary's Expedition
10,Kurzen's Compound
10,Ruins of Zul'Kunda
10,Ruins of Zul'Mamwe
10,The Vile Reef
10,Mosh'Ogg Ogre Mound
10,The Stockpile
10,Saldean's Farm
10,Sentinel Hill
10,Furlbrow's Pumpkin Farm
11,Jangolode Mine
11,Gold Coast Quarry
11,Westfall Lighthouse
11,Misty Valley
11,Grom'gol Base Camp
11,Whelgar's Excavation Site
12,Westbrook Garrison
12,Tranquil Gardens Cemetery
12,Zuuldaia Ruins
12,Bal'lal Ruins
12,Kal'ai Ruins
12,Tkashi Ruins
12,Balia'mah Ruins
12,Ziata'jai Ruins
12,Mizjah Ruins
13,Silverpine Forest
13,Kharanos
13,Coldridge Valley
13,Gnomeregan
13,Gol'Bolar Quarry
13,Frostmane Hold
13,The Grizzled Den
13,Brewnall Village
13,Misty Pine Refuge
13,Eastern Plaguelands
14,Teldrassil
14,Ironband's Excavation Site
14,Mo'grosh Stronghold
14,Thelsamar
14,Algaz Gate
14,Stonewrought Dam
14,The Farstrider Lodge
14,Darkshore
14,Silver Stream Mine
15,Menethil Harbor
15,Designer Island
15,The Bulwark
15,Ruins of Lordaeron
15,Deathknell
15,Night Web's Hollow
15,Solliden Farmstead
15,Agamand Mills
15,Agamand Family Crypt
15,Brill
16,Whispering Gardens
16,Terrace of Repose
16,Brightwater Lake
16,Gunther's Retreat
16,Garren's Haunt
16,Balnir Farmstead
16,Cold Hearth Manor
16,Crusader Outpost
16,The North Coast
16,Whispering Shore
17,Lordamere Lake
17,Fenris Isle
17,Faol's Rest
18,Dolanaar
18,Darnassus UNUSED
18,Shadowglen
18,Steelgrill's Depot
19,Hearthglen
19,Northridge Lumber Camp
19,Ruins of Andorhal
19,School of Necromancy
